time,yo,
0,731,
0.005,724,
0.013,724,
0.02,730,
0.027,726,
0.034,725,
0.041,730,
0.05,725,
0.055,754,
0.063,787,
0.07,815,
0.077,827,
0.084,782,
0.091,748,
0.098,726,
0.105,721,
0.112,721,
0.12,725,
0.127,718,
0.134,729,
0.141,727,
0.148,717,
0.155,729,
0.162,734,
0.17,728,
0.177,735,
0.184,735,
0.191,729,
0.198,735,
0.205,733,
0.212,736,
0.22,742,
0.227,731,
0.234,735,
0.241,742,
0.248,733,
0.255,739,
0.262,745,
0.27,735,
0.277,745,
0.284,743,
0.291,742,
0.298,746,
0.305,744,
0.312,745,
0.32,753,
0.327,748,
0.334,747,
0.341,753,
0.348,744,
0.355,743,
0.362,745,
0.37,735,
0.377,739,
0.384,737,
0.391,727,
0.398,736,
0.405,732,
0.413,732,
0.42,737,
0.427,733,
0.434,733,
0.441,740,
0.448,734,
0.455,737,
0.462,742,
0.47,732,
0.477,741,
0.484,734,
0.491,739,
0.498,740,
0.505,735,
0.512,739,
0.52,737,
0.527,735,
0.534,740,
0.541,738,
0.548,736,
0.555,742,
0.562,736,
0.57,738,
0.577,739,
0.584,733,
0.591,738,
0.598,741,
0.605,733,
0.612,740,
0.62,741,
0.627,737,
0.634,746,
0.641,741,
0.648,739,
0.655,747,
0.662,741,
0.67,744,
0.677,742,
0.684,735,
0.691,736,
0.698,739,
0.705,728,
0.712,736,
0.72,735,
0.727,729,
0.734,740,
0.741,759,
0.748,793,
0.755,835,
0.762,825,
0.77,782,
0.777,753,
0.784,725,
0.791,725,
0.798,729,
0.805,723,
0.812,729,
0.82,724,
0.827,721,
0.834,733,
0.841,732,
0.848,726,
0.855,737,
0.862,735,
0.87,731,
0.877,739,
0.884,735,
0.891,735,
0.898,738,
0.905,731,
0.912,738,
0.92,743,
0.927,738,
0.934,742,
0.941,738,
0.948,738,
0.955,744,
0.962,743,
0.97,741,
0.977,753,
0.984,745,
0.991,747,
0.998,753,
1.005,743,
1.012,749,
1.02,752,
1.027,746,
1.034,748,
1.041,736,
1.048,741,
1.055,738,
1.062,734,
1.07,741,
1.077,735,
1.084,733,
1.091,739,
1.098,732,
1.105,732,
1.112,740,
1.12,731,
1.127,736,
1.134,737,
1.141,729,
1.148,734,
1.155,738,
1.162,733,
1.17,739,
1.177,737,
1.184,731,
1.191,741,
1.198,736,
1.205,738,
1.212,737,
1.22,735,
1.227,739,
1.234,741,
1.241,736,
1.248,735,
1.255,739,
1.262,729,
1.27,738,
1.277,738,
1.284,736,
1.291,746,
1.298,742,
1.305,734,
1.312,744,
1.32,738,
1.327,743,
1.334,747,
1.341,740,
1.348,739,
1.355,742,
1.362,731,
1.37,733,
1.377,740,
1.384,732,
1.391,731,
1.398,734,
1.405,741,
1.412,778,
1.42,807,
1.427,823,
1.434,803,
1.441,756,
1.448,725,
1.455,729,
1.462,725,
1.47,727,
1.477,725,
1.484,724,
1.491,730,
1.498,731,
1.505,727,
1.512,737,
1.52,734,
1.527,730,
1.534,738,
1.541,735,
1.548,733,
1.555,737,
1.562,735,
1.57,735,
1.577,737,
1.584,732,
1.591,741,
1.598,736,
1.605,743,
1.612,741,
1.62,741,
1.627,746,
1.634,748,
1.641,743,
1.648,749,
1.655,746,
1.662,745,
1.67,752,
1.677,743,
1.684,750,
1.691,752,
1.698,742,
1.705,739,
1.712,742,
1.72,734,
1.727,739,
1.734,734,
1.741,729,
1.748,740,
1.755,731,
1.762,729,
1.77,741,
1.777,733,
1.784,733,
1.791,740,
1.798,730,
1.805,736,
1.812,735,
1.82,730,
1.827,735,
1.834,736,
1.841,731,
1.848,736,
1.855,739,
1.862,735,
1.87,740,
1.877,733,
1.884,732,
1.891,742,
1.898,733,
1.905,732,
1.912,737,
1.92,730,
1.927,729,
1.934,737,
1.941,728,
1.948,733,
1.955,737,
1.962,735,
1.97,735,
1.977,735,
1.984,732,
1.991,742,
1.998,733,
2.005,730,
2.012,738,
2.02,727,
2.027,726,
2.034,726,
2.041,717,
2.048,726,
2.055,725,
2.062,723,
2.07,742,
2.077,773,
2.084,797,
2.091,817,
2.098,781,
2.105,739,
2.113,714,
2.12,716,
2.127,720,
2.134,711,
2.141,721,
2.148,724,
2.155,715,
2.162,721,
2.17,724,
2.177,718,
2.184,729,
2.191,726,
2.198,729,
2.205,732,
2.212,733,
2.22,729,
2.227,738,
2.234,730,
2.241,727,
2.248,740,
2.255,728,
2.263,737,
2.27,738,
2.277,733,
2.284,738,
2.291,741,
2.298,735,
2.305,748,
2.312,748,
2.32,742,
2.327,747,
2.334,743,
2.341,745,
2.348,751,
2.355,740,
2.362,741,
2.37,740,
2.377,731,
2.384,734,
2.391,735,
2.398,726,
2.405,735,
2.412,731,
2.42,728,
2.427,738,
2.434,732,
2.441,732,
2.448,738,
2.455,732,
2.462,734,
2.47,735,
2.477,728,
2.484,733,
2.491,735,
2.498,732,
2.505,740,
2.513,737,
2.52,730,
2.527,742,
2.534,735,
2.541,733,
2.548,737,
2.555,737,
2.562,738,
2.57,739,
2.577,732,
2.584,736,
2.591,740,
2.598,733,
2.605,732,
2.612,740,
2.62,736,
2.627,740,
2.634,741,
2.641,738,
2.648,742,
2.655,741,
2.662,741,
2.67,739,
2.677,742,
2.684,742,
2.691,731,
2.698,732,
2.705,737,
2.712,729,
2.72,733,
2.727,736,
2.734,729,
2.741,749,
2.748,779,
2.755,821,
2.762,831,
2.77,796,
2.777,758,
2.784,730,
2.791,725,
2.798,722,
2.805,728,
2.812,723,
2.82,727,
2.827,729,
2.834,725,
2.841,732,
2.848,732,
2.855,727,
2.862,736,
2.87,733,
2.877,728,
2.884,742,
2.891,737,
2.898,734,
2.905,741,
2.912,737,
2.92,737,
2.927,743,
2.934,735,
2.941,743,
2.948,740,
2.955,738,
2.962,745,
2.97,746,
2.977,739,
2.984,749,
2.991,748,
2.998,746,
3.005,752,
3.012,745,
3.02,747,
3.027,754,
3.034,745,
3.041,744,
3.048,749,
3.055,734,
3.062,738,
3.07,740,
3.077,733,
3.084,737,
3.091,734,
3.098,729,
3.105,741,
3.112,733,
3.12,734,
3.127,739,
3.134,731,
3.141,736,
3.148,742,
3.155,731,
3.162,733,
3.17,740,
3.177,731,
3.184,742,
3.191,738,
3.198,729,
3.205,735,
3.212,738,
3.22,740,
3.227,737,
3.234,737,
3.241,743,
3.248,734,
3.255,740,
3.262,744,
3.27,734,
3.277,740,
3.284,739,
3.291,736,
3.298,740,
3.305,742,
3.312,740,
3.32,745,
3.327,744,
3.334,744,
3.341,746,
3.348,742,
3.355,740,
3.362,748,
3.37,735,
3.377,745,
3.384,741,
3.391,736,
3.398,738,
3.405,739,
3.412,733,
3.42,733,
3.427,737,
3.434,751,
3.441,795,
3.448,825,
3.455,829,
3.462,792,
3.47,749,
3.477,728,
3.484,733,
3.491,719,
3.498,727,
3.505,731,
3.512,721,
3.52,730,
3.527,730,
3.534,729,
3.541,735,
3.548,731,
3.555,732,
3.562,740,
3.57,736,
3.577,736,
3.584,742,
3.591,732,
3.598,737,
3.605,736,
3.612,737,
3.62,738,
3.627,743,
3.634,736,
3.641,746,
3.648,743,
3.655,743,
3.662,748,
3.67,745,
3.677,743,
3.684,752,
3.691,746,
3.698,747,
3.705,755,
3.713,742,
3.72,748,
3.727,752,
3.734,743,
3.741,743,
3.748,739,
3.755,731,
3.762,740,
3.77,729,
3.777,739,
3.784,730,
3.791,735,
3.798,741,
3.805,732,
3.812,734,
3.82,741,
3.827,734,
3.834,737,
3.841,738,
3.848,731,
3.855,738,
3.862,738,
3.87,729,
3.877,743,
3.884,739,
3.891,733,
3.898,741,
3.905,732,
3.912,737,
3.92,742,
3.927,732,
3.934,735,
3.941,739,
3.948,731,
3.955,736,
3.962,742,
3.97,731,
3.977,738,
3.984,742,
3.991,737,
3.998,746,
4.005,740,
4.012,738,
4.02,748,
4.027,739,
4.034,741,
4.041,747,
4.048,737,
4.055,740,
4.062,740,
4.07,733,
4.077,738,
4.084,738,
4.091,733,
4.098,739,
4.105,734,
4.112,733,
4.12,747,
4.127,784,
4.134,812,
4.141,828,
4.148,782,
4.155,750,
